Crop,Land_Area_ha,Soil_Fertility,Growth_Stage,Region,Urea_kg
Cotton,2.06,Low,Initial,East,97.73
Wheat,1.47,Medium,Initial,East,71.43
Wheat,1.68,Medium,Mid,Central,79.67
Mustard,0.77,Low,Mid,South,27.2
Wheat,1.13,Medium,Late,Central,29.1
Wheat,1.05,High,Initial,Central,35.1
Sugarcane,0.9,Medium,Late,Central,35.33
Mustard,1.13,High,Late,West,13.92
Maize,2.41,Medium,Mid,West,130.02
Maize,2.12,Low,Mid,Central,131.8
Wheat,0.44,Medium,Initial,South,18.51
Maize,1.99,Medium,Initial,North,71.85
Maize,2.3,Low,Late,East,51.72
Wheat,0.9,Medium,Mid,West,48.15
Maize,1.43,High,Initial,North,44.83
Cotton,1.41,Medium,Mid,West,53.81
Rice,0.55,Medium,Late,West,16.66
Mustard,0.77,High,Mid,West,22.6
Rice,1.69,High,Initial,Central,62.36
Wheat,0.71,Medium,Mid,Central,37.74
Sugarcane,1.98,Low,Mid,West,171.11
Mustard,2.49,High,Initial,West,51.94
Wheat,2.23,Low,Initial,East,84.84
Sugarcane,4.0,Medium,Mid,North,276.55
Rice,0.94,Low,Mid,North,67.19
Wheat,1.13,Medium,Initial,South,50.26
Mustard,1.25,Medium,Initial,South,30.28
Mustard,0.96,Medium,Initial,South,24.56
Pulses,1.46,Medium,Initial,Central,21.07
Cotton,0.3,Low,Initial,Central,12.45
Maize,1.15,Medium,Mid,East,66.94
Sugarcane,0.38,High,Mid,Central,24.5
Pulses,0.51,High,Mid,South,8.32
Maize,1.67,Low,Mid,West,96.92
Maize,0.87,Medium,Initial,South,41.04
Wheat,1.63,Medium,Mid,East,82.6
Maize,0.86,Medium,Initial,West,31.62
Cotton,2.17,Low,Initial,Central,71.18
Mustard,0.85,Medium,Initial,West,18.15
Pulses,0.25,High,Late,East,1.83
Maize,1.17,Medium,Initial,Central,46.47
Wheat,0.22,Medium,Late,North,5.54
Cotton,0.36,Medium,Mid,South,15.1
Rice,0.54,Low,Mid,South,37.37
Mustard,0.49,High,Mid,East,13.16
Mustard,0.68,Medium,Initial,East,15.41
Pulses,0.48,Low,Initial,South,7.07
Mustard,0.37,High,Late,West,4.29
Maize,2.94,Medium,Mid,North,148.53
Wheat,0.62,High,Initial,North,23.79
Mustard,0.21,Medium,Initial,East,5.56
Mustard,0.78,Low,Late,East,14.74
Rice,0.46,Medium,Late,West,11.16
Rice,0.54,Medium,Mid,East,33.78
Sugarcane,1.64,Low,Initial,North,108.57
Cotton,0.73,Medium,Late,South,14.54
Maize,0.45,Medium,Initial,North,16.32
Mustard,1.37,Medium,Mid,West,46.58
Mustard,2.24,Low,Mid,South,90.94
Wheat,1.46,Medium,Mid,South,80.25
Sugarcane,0.2,Low,Mid,North,19.18
Cotton,0.46,Medium,Late,South,8.11
Sugarcane,1.03,Low,Mid,South,91.38
Pulses,0.84,High,Mid,East,12.58
Cotton,0.8,Medium,Initial,South,24.19
Mustard,0.5,Medium,Initial,West,14.12
Mustard,0.37,Medium,Initial,South,8.04
Cotton,4.08,Low,Mid,East,197.66
Mustard,1.02,Medium,Mid,Central,34.73
Maize,1.57,High,Initial,Central,50.34
Cotton,1.0,High,Initial,West,27.17
Sugarcane,1.03,Low,Initial,West,61.67
Cotton,0.96,Medium,Mid,South,43.04
Mustard,0.46,Medium,Mid,South,15.68
Maize,0.35,Medium,Mid,Central,17.15
Maize,1.31,Low,Mid,Central,68.71
Pulses,1.14,Low,Mid,North,25.48
Sugarcane,1.93,Medium,Mid,Central,139.66
Rice,1.67,High,Initial,Central,63.32
Rice,0.57,Medium,Mid,West,34.51
Cotton,2.21,Medium,Mid,North,103.07
Pulses,1.71,High,Initial,North,21.63
Wheat,1.62,Medium,Late,South,35.68
Cotton,4.83,High,Mid,South,135.49
Pulses,4.18,Medium,Mid,North,75.59
Sugarcane,1.62,Low,Mid,North,154.78
Sugarcane,1.49,High,Initial,South,77.38
Sugarcane,2.13,Medium,Initial,West,153.84
Sugarcane,0.66,Low,Mid,West,59.25
Sugarcane,0.67,Medium,Initial,West,31.65
Pulses,1.6,Low,Initial,West,24.0
Pulses,0.55,Medium,Late,South,4.5
Maize,1.51,High,Mid,East,67.5
Rice,1.12,High,Initial,Central,46.12
Mustard,0.55,High,Initial,Central,11.16
Sugarcane,1.02,Low,Mid,Central,76.64
Wheat,2.49,Medium,Initial,Central,106.67
Mustard,1.06,Low,Initial,South,28.26
Pulses,1.06,High,Mid,East,16.99
Wheat,1.26,Medium,Initial,South,54.36
Wheat,1.38,Medium,Mid,East,85.39
Wheat,0.79,Medium,Mid,South,37.97
Maize,1.28,Medium,Initial,North,42.83
Pulses,0.48,Medium,Initial,East,6.46
Wheat,0.57,High,Mid,Central,24.55
Sugarcane,0.63,High,Mid,East,40.28
Cotton,1.39,Medium,Initial,West,48.59
Wheat,1.12,Medium,Initial,East,48.64
Maize,0.91,High,Late,West,19.77
Mustard,1.62,Low,Initial,West,44.31
Pulses,1.3,Medium,Late,North,9.21
Maize,0.82,Low,Initial,East,33.88
Wheat,0.48,Medium,Initial,North,22.43
Pulses,0.56,Low,Mid,Central,10.44
Cotton,0.36,Medium,Initial,East,12.15
Wheat,1.1,Low,Initial,South,50.37
Maize,0.55,Medium,Initial,South,18.72
Rice,0.71,High,Late,South,18.78
Sugarcane,0.91,High,Mid,West,57.48
Mustard,2.08,High,Mid,South,49.98
Maize,1.92,Medium,Mid,Central,95.03
Pulses,0.96,Low,Mid,East,19.29
Wheat,2.43,Low,Mid,East,187.63
Sugarcane,0.24,High,Initial,West,14.05
Wheat,3.72,Medium,Initial,West,142.65
Pulses,1.62,Low,Initial,West,24.15
Wheat,1.07,Medium,Initial,Central,36.38
Rice,0.54,Medium,Initial,East,27.15
Sugarcane,0.74,Medium,Initial,North,42.9
Sugarcane,1.53,High,Late,West,45.87
Pulses,1.56,High,Late,South,8.33
Mustard,1.6,Medium,Initial,North,39.01
Rice,0.6,High,Initial,North,29.26
Maize,0.52,Medium,Initial,West,19.58
Wheat,1.15,Medium,Initial,South,43.53
Cotton,1.71,Low,Initial,West,60.11
Wheat,1.0,Low,Late,West,26.66
Wheat,2.82,Medium,Initial,South,141.55
Maize,1.02,High,Initial,North,32.38
Wheat,1.0,Medium,Initial,North,36.93
Rice,1.6,Low,Late,South,50.57
Rice,2.35,Low,Late,North,77.08
Sugarcane,0.39,High,Mid,Central,28.56
Pulses,0.46,Low,Mid,West,9.87
Mustard,0.8,Medium,Initial,Central,23.76
Cotton,9.13,Low,Initial,Central,314.05
Wheat,0.83,Low,Mid,Central,48.64
Wheat,0.92,Medium,Mid,East,41.2
Maize,1.54,Medium,Initial,East,64.55
Pulses,1.98,Medium,Initial,Central,25.53
Rice,1.13,Low,Mid,West,86.2
Cotton,2.26,High,Initial,Central,58.09
Sugarcane,0.43,Low,Mid,Central,47.83
Rice,0.58,Medium,Mid,East,32.2
Pulses,2.26,High,Initial,Central,29.89
Mustard,1.01,Low,Mid,West,38.61
Sugarcane,0.41,High,Late,West,12.91
Mustard,0.4,Low,Initial,Central,10.02
Maize,0.57,Medium,Initial,West,22.29
Maize,1.0,Medium,Initial,Central,39.44
Wheat,1.39,High,Mid,East,53.05
Mustard,0.79,Medium,Late,Central,12.98
Pulses,1.31,Medium,Mid,North,22.75
Cotton,0.74,High,Initial,East,23.09
Sugarcane,2.36,Medium,Late,West,81.7
Rice,5.97,Medium,Mid,West,400.48
Pulses,0.76,Medium,Mid,East,12.75
Pulses,1.4,Medium,Initial,North,20.01
Maize,1.32,Low,Initial,East,60.55
Mustard,1.1,Low,Mid,South,37.85
Wheat,1.58,Medium,Mid,North,77.89
Wheat,1.4,Medium,Mid,East,53.39
Sugarcane,0.72,High,Initial,South,34.55
Maize,2.51,High,Mid,Central,114.28
Pulses,1.15,Medium,Late,North,7.93
Cotton,0.76,High,Late,Central,10.4
Maize,5.53,Medium,Initial,South,178.72
Sugarcane,0.92,Low,Mid,West,85.04
Sugarcane,1.2,High,Mid,West,72.7
Maize,1.13,Low,Late,West,31.13
Sugarcane,0.91,Medium,Mid,Central,80.19
Maize,1.37,High,Late,North,26.11
Rice,0.55,Medium,Late,Central,16.13
Maize,1.52,High,Initial,Central,46.35
Mustard,0.29,Low,Mid,West,9.48
Maize,0.4,Medium,Mid,Central,21.58
Sugarcane,3.59,Low,Initial,South,278.14
Mustard,0.42,Medium,Initial,East,11.1
Sugarcane,0.25,High,Initial,East,13.2
Wheat,0.42,Medium,Mid,East,22.35
Wheat,3.38,Medium,Initial,West,124.89
Mustard,0.29,Low,Late,West,4.8
Rice,0.51,Low,Mid,East,30.43
Wheat,0.36,Medium,Mid,North,15.17
Maize,0.83,High,Initial,East,22.03
Sugarcane,0.74,Low,Mid,Central,54.48
Wheat,0.71,Medium,Mid,East,44.68
Wheat,3.67,High,Initial,East,144.02
Rice,0.43,Medium,Late,North,10.65
Mustard,0.93,Medium,Mid,West,28.14
Mustard,1.27,High,Initial,West,29.36
Pulses,0.5,Medium,Late,Central,4.27
Rice,1.41,Medium,Initial,East,85.12
Maize,0.76,Low,Mid,South,41.69
Mustard,1.3,High,Mid,Central,32.84
Sugarcane,0.93,High,Initial,West,42.95
Rice,0.24,High,Mid,North,12.78
Wheat,2.49,Low,Mid,West,164.36
Sugarcane,4.26,Medium,Mid,West,338.04
Sugarcane,0.88,Low,Initial,North,61.73
Wheat,0.53,Low,Initial,East,29.58
Rice,2.87,Medium,Initial,East,151.01
Wheat,3.76,High,Late,West,73.47
Pulses,0.89,High,Initial,Central,9.86
Sugarcane,0.86,Medium,Mid,South,66.38
Cotton,0.95,Low,Late,Central,20.7
Cotton,0.31,Medium,Mid,Central,11.68
Maize,0.82,Medium,Late,West,15.26
Mustard,3.32,High,Late,West,36.5
Wheat,0.89,High,Mid,South,39.78
Wheat,0.48,Medium,Initial,South,22.58
Maize,1.42,Medium,Initial,South,47.22
Maize,0.63,Low,Initial,West,27.53
Maize,0.95,Medium,Mid,West,44.56
Sugarcane,0.41,Medium,Initial,Central,25.58
Pulses,0.48,Low,Mid,West,11.21
Wheat,1.68,Medium,Initial,East,72.38
Sugarcane,1.08,High,Initial,East,53.82
Maize,0.58,Medium,Mid,South,30.68
Wheat,1.09,Low,Initial,West,55.09
Sugarcane,0.65,Low,Mid,East,55.9
Pulses,0.58,Medium,Late,Central,4.11
Sugarcane,2.26,Medium,Mid,North,190.47
Pulses,1.73,Medium,Initial,Central,24.38
Maize,0.99,Medium,Late,North,20.65
Pulses,1.11,Medium,Initial,Central,17.3
Wheat,0.99,High,Mid,East,43.79
Maize,1.41,Medium,Initial,West,54.73
Wheat,0.57,High,Initial,North,22.8
Cotton,1.83,Medium,Late,West,30.85
Rice,1.28,Low,Mid,West,73.55
Pulses,0.83,Medium,Late,East,6.51
Rice,0.71,Medium,Mid,South,44.71
Rice,1.8,High,Late,South,46.24
Pulses,0.9,Medium,Late,North,6.82
Maize,0.61,High,Mid,East,30.85
Cotton,0.76,High,Mid,West,22.2
Wheat,1.71,Medium,Mid,Central,94.98
Sugarcane,0.32,Medium,Late,Central,11.49
Wheat,0.78,Medium,Initial,North,37.16
Sugarcane,2.12,High,Mid,North,124.2
Wheat,0.89,High,Initial,North,33.09
Pulses,1.21,Low,Initial,East,19.39
Cotton,2.14,High,Initial,Central,66.72
Sugarcane,1.87,Low,Mid,East,162.74
Mustard,0.73,Medium,Late,East,10.93
Maize,0.91,Low,Mid,West,46.18
Wheat,1.88,Medium,Mid,East,105.72
Wheat,1.93,High,Mid,East,87.03
Sugarcane,0.94,Medium,Mid,West,71.03
Maize,0.96,Low,Late,South,19.14
Maize,1.21,Medium,Mid,West,60.31
Pulses,2.6,Medium,Initial,North,32.5
Mustard,2.11,Medium,Initial,South,45.03
Pulses,1.62,Medium,Late,Central,11.09
Pulses,0.47,Low,Late,East,3.94
Pulses,0.82,Medium,Initial,South,11.89
Pulses,0.86,Medium,Initial,Central,12.65
Pulses,2.7,Medium,Mid,West,50.26
Cotton,0.85,Low,Mid,West,34.3
Maize,2.4,Medium,Mid,North,121.59
Pulses,0.67,Low,Late,North,5.79
Maize,0.71,Medium,Late,South,16.75
Maize,1.4,Medium,Late,East,32.77
Rice,3.0,Medium,Mid,West,171.14
Cotton,0.86,High,Initial,South,24.98
Pulses,0.2,High,Mid,South,3.15
Wheat,0.33,Medium,Mid,South,15.25
Sugarcane,1.23,Medium,Initial,North,64.64
Mustard,0.36,High,Initial,West,6.23
Wheat,0.55,Medium,Mid,North,34.32
Cotton,1.01,Low,Mid,North,42.21
Sugarcane,0.2,High,Mid,South,16.03
Cotton,0.77,Medium,Initial,Central,21.79
Maize,0.44,Low,Mid,Central,22.45
Sugarcane,0.35,Medium,Initial,Central,24.24
Maize,0.57,Medium,Mid,South,30.23
Wheat,0.47,Medium,Mid,East,27.51
Wheat,1.39,Low,Late,West,39.7
Sugarcane,2.31,Low,Mid,South,194.03
Sugarcane,0.77,Low,Mid,South,76.62
Pulses,0.66,Medium,Mid,North,12.14
Cotton,0.75,Medium,Mid,Central,29.49
Pulses,0.46,Medium,Initial,South,6.38
Cotton,0.41,Low,Mid,East,21.32
Pulses,0.32,Low,Mid,West,6.59
Maize,0.39,High,Mid,East,13.27
Sugarcane,3.13,Medium,Mid,South,270.97
Wheat,0.62,Medium,Late,South,15.69
Cotton,0.2,Low,Initial,North,6.97
Cotton,0.66,Medium,Initial,East,21.55
Wheat,0.33,Medium,Late,North,7.97
Pulses,1.04,Low,Late,East,7.85
Cotton,0.97,Low,Initial,Central,33.95
Mustard,1.04,Medium,Late,Central,14.17
Maize,0.97,High,Initial,East,31.93
Sugarcane,0.77,High,Mid,North,50.25
Wheat,0.36,Medium,Mid,Central,20.99
Sugarcane,0.95,Medium,Mid,South,69.24
Mustard,2.04,Low,Mid,West,78.23
Cotton,3.56,Medium,Initial,North,119.02
Cotton,0.85,Medium,Initial,East,30.9
Mustard,0.91,Low,Mid,West,37.65
Wheat,1.42,High,Initial,West,57.71
Maize,2.84,Low,Late,South,62.16
Rice,0.71,Medium,Mid,North,46.37
Wheat,1.62,Medium,Initial,West,61.41
Rice,0.56,Medium,Mid,North,47.03
Mustard,1.26,Medium,Initial,South,32.1
Pulses,1.97,Low,Initial,East,36.98
Rice,0.41,High,Mid,West,21.96
Maize,0.69,Medium,Late,West,10.88
Pulses,1.95,Medium,Mid,West,31.4
Rice,1.54,High,Initial,North,59.72
Mustard,2.07,Medium,Mid,West,60.64
Pulses,1.81,Low,Initial,North,30.21
Mustard,0.79,High,Initial,Central,17.4
Rice,4.66,Low,Late,Central,111.78
Mustard,1.1,Low,Late,North,17.3
Maize,0.2,Medium,Initial,Central,7.4
Rice,0.82,High,Mid,South,49.02
Rice,0.72,Low,Late,South,24.07
Rice,1.74,Medium,Initial,Central,84.77
Wheat,0.73,Low,Initial,East,36.73
Wheat,2.16,Medium,Late,North,43.06
Wheat,1.48,Medium,Mid,Central,85.94
Maize,0.5,Medium,Initial,North,18.36
Pulses,0.91,Low,Mid,Central,17.42
Mustard,0.58,Medium,Initial,South,15.79
Cotton,1.14,High,Mid,East,41.05
Rice,0.58,Medium,Mid,North,34.03
Mustard,1.05,Medium,Mid,East,31.8
Rice,0.83,High,Mid,South,44.96
Maize,0.9,Low,Initial,West,39.72
Rice,4.2,Medium,Initial,West,200.33
Wheat,0.78,High,Initial,North,24.4
Cotton,0.26,Low,Late,South,4.68
Sugarcane,2.04,Medium,Mid,North,152.59
Rice,2.02,Low,Initial,North,111.87
Mustard,0.25,Medium,Mid,North,7.85
Wheat,0.61,Medium,Late,East,14.75
Sugarcane,1.36,Medium,Mid,Central,109.72
Cotton,1.44,Medium,Initial,South,52.94
Sugarcane,1.0,Medium,Initial,East,69.49
Wheat,1.01,Medium,Initial,Central,48.06
Pulses,0.52,Low,Late,North,4.99
Pulses,0.2,High,Mid,West,2.99
Sugarcane,4.2,Low,Mid,East,415.24
Maize,0.51,High,Late,South,9.51
Mustard,1.13,Medium,Late,South,16.78
Mustard,0.89,Medium,Initial,Central,19.98
Sugarcane,1.87,Medium,Initial,East,129.15
Rice,1.08,Medium,Mid,North,69.42
Rice,1.11,Medium,Initial,Central,45.14
Mustard,0.2,Low,Mid,South,7.16
Mustard,0.56,Medium,Late,East,6.93
Pulses,1.68,Low,Mid,West,32.01
Maize,1.58,Low,Initial,North,68.9
Wheat,0.51,Medium,Initial,South,17.96
Rice,0.33,Low,Mid,East,24.35
Mustard,1.09,Medium,Late,West,14.94
Pulses,0.2,Low,Initial,South,3.39
Cotton,0.45,Low,Initial,West,15.01
Pulses,3.43,Low,Initial,South,55.58
Rice,2.75,High,Late,Central,65.47
Rice,1.41,Low,Mid,Central,98.61
Pulses,1.24,Medium,Late,Central,8.35
Wheat,0.26,Low,Mid,East,15.99
Sugarcane,0.6,High,Mid,Central,44.49
Rice,0.81,Low,Initial,East,42.38
Pulses,0.6,High,Initial,North,7.04
Mustard,0.78,Medium,Mid,Central,24.72
Pulses,2.48,Low,Late,East,25.87
Maize,0.68,High,Initial,South,22.01
Sugarcane,0.79,Medium,Initial,East,52.07
Cotton,1.68,Medium,Mid,East,69.26
Wheat,0.37,High,Initial,South,12.32
Cotton,0.56,High,Mid,East,17.29
Sugarcane,0.6,Medium,Initial,South,35.79
Sugarcane,1.04,Medium,Initial,West,66.03
Sugarcane,0.79,High,Mid,Central,55.29
Cotton,0.8,Medium,Mid,North,37.34
Mustard,0.63,High,Mid,East,18.77
Sugarcane,0.47,Medium,Initial,South,32.8
Pulses,1.53,Low,Late,Central,11.34
Cotton,0.79,High,Initial,East,24.96
Sugarcane,1.54,Low,Initial,Central,115.87
Pulses,0.46,Medium,Mid,West,8.35
Mustard,0.63,Medium,Initial,East,17.09
Maize,0.86,Medium,Mid,South,41.64
Mustard,0.91,Low,Late,West,12.75
Sugarcane,1.7,High,Mid,East,136.32
Cotton,0.74,Medium,Mid,Central,27.94
Rice,1.69,Medium,Mid,West,92.91
Sugarcane,1.3,High,Initial,South,66.63
Rice,0.93,Medium,Mid,East,57.33
Pulses,0.51,Low,Initial,Central,8.36
Maize,1.7,Low,Late,Central,42.98
Wheat,0.52,High,Initial,West,20.55
Mustard,0.99,Low,Mid,East,38.08
Maize,0.96,Medium,Late,Central,19.56
Sugarcane,0.87,Medium,Mid,West,63.07
Rice,0.76,Medium,Late,North,20.49
Mustard,0.56,Low,Mid,Central,19.79
Rice,0.32,Medium,Initial,West,14.54
Cotton,2.67,Medium,Late,North,42.79
Rice,0.71,High,Initial,West,29.47
Cotton,0.91,Low,Initial,Central,31.93
Pulses,0.91,Medium,Mid,North,14.83
Mustard,2.15,Medium,Mid,West,68.98
Mustard,3.87,Medium,Late,East,59.95
Wheat,1.12,Medium,Late,North,26.18
Sugarcane,0.9,Low,Late,West,42.39
Cotton,0.46,Low,Initial,East,20.56
Wheat,0.36,Medium,Mid,North,20.63
Rice,0.29,Medium,Mid,West,16.83
Rice,0.57,Medium,Late,Central,16.64
Wheat,0.23,Low,Mid,North,12.61
Mustard,2.13,Low,Initial,North,54.73
Rice,1.34,Low,Late,East,36.73
Pulses,0.84,Low,Initial,West,12.27
Pulses,2.17,Medium,Mid,Central,34.65
Wheat,0.47,High,Mid,East,23.5
Cotton,0.56,Medium,Mid,North,21.1
Cotton,0.26,Medium,Mid,East,10.97
Wheat,1.72,Low,Mid,East,117.06
Cotton,0.57,Medium,Mid,East,26.17
Mustard,1.01,Low,Initial,North,27.48
Mustard,2.02,High,Initial,South,42.45
Cotton,2.61,Medium,Initial,East,86.75
Pulses,0.98,High,Mid,South,16.56
Cotton,1.31,High,Initial,Central,38.16
Mustard,0.53,Medium,Mid,Central,19.1
Maize,3.25,Medium,Mid,Central,135.4
Sugarcane,0.89,Low,Mid,West,75.09
Rice,1.06,Medium,Mid,North,73.52
Maize,0.75,High,Mid,South,32.82
Cotton,2.32,Low,Mid,West,103.29
Pulses,1.15,High,Mid,South,16.42
Wheat,1.7,Medium,Initial,North,77.19
Cotton,1.28,High,Late,East,16.04
Pulses,0.86,High,Late,West,6.1
Sugarcane,1.92,Medium,Initial,North,121.85
Cotton,1.27,Medium,Mid,West,47.58
Mustard,0.51,Medium,Late,Central,7.58
Wheat,0.5,High,Initial,West,16.66
Pulses,1.11,High,Mid,East,17.37
Pulses,1.89,High,Initial,East,22.8
Pulses,3.15,Medium,Mid,South,59.71
Sugarcane,0.29,Medium,Late,West,10.22
Cotton,1.02,High,Mid,Central,28.64
Sugarcane,1.41,Medium,Mid,East,100.19
Rice,1.23,High,Late,South,25.58
Rice,2.03,Medium,Mid,Central,134.86
Cotton,1.58,Low,Mid,Central,78.58
Mustard,0.5,Medium,Mid,Central,18.63
Sugarcane,0.49,Medium,Mid,North,35.77
Wheat,1.24,Low,Late,East,39.62
Pulses,2.0,Low,Late,North,14.84
Pulses,1.11,Medium,Mid,North,19.94
Cotton,0.33,Low,Mid,East,16.13
Mustard,0.48,Medium,Initial,West,11.69
Rice,1.62,Medium,Late,South,43.15
Rice,0.78,High,Mid,East,43.3
Pulses,1.09,Medium,Mid,South,16.79
Cotton,2.11,High,Initial,West,59.49
Sugarcane,0.43,Medium,Late,East,16.22
Rice,0.75,Medium,Initial,Central,38.37
Sugarcane,0.69,Medium,Initial,East,43.32
Mustard,1.28,Medium,Mid,West,37.9
Rice,1.72,Medium,Mid,North,113.9
Rice,0.35,Low,Initial,East,23.64
Maize,1.0,Medium,Mid,Central,42.86
Rice,1.84,Low,Mid,East,116.19
Wheat,0.27,Medium,Initial,North,11.77
Cotton,0.96,Low,Initial,East,34.15
Cotton,0.43,Medium,Late,Central,7.86
Sugarcane,0.64,Medium,Initial,West,38.91
Mustard,0.2,Low,Initial,Central,6.05
Rice,2.65,Medium,Mid,West,157.36
Wheat,0.78,Medium,Mid,Central,37.38
Sugarcane,0.57,High,Mid,South,35.32
Maize,1.26,High,Late,East,23.62
Sugarcane,0.48,Medium,Late,East,15.48
Sugarcane,0.45,Medium,Initial,North,28.31
Rice,2.88,Medium,Mid,South,178.79
Maize,3.55,Medium,Mid,North,169.29
Sugarcane,0.66,Low,Initial,East,49.85
Wheat,2.11,Medium,Initial,North,74.35
Wheat,1.28,Medium,Mid,West,60.8
Cotton,0.37,Low,Initial,South,11.69
Maize,0.52,Medium,Late,Central,12.62
Maize,2.96,Medium,Mid,West,175.0
